Model,Predictor,Extra covariates,N observations,Informative strata,Log-likelihood,Note
Primary conditional logistic,ac1_hr_late_mean,None,"2,060",695,-617.9,Matched-pair strata condition out matching variables and baseline hazard.
Late-vitals-adjusted sensitivity,ac1_hr_late_mean,"late_map_mean_raw, late_hr_mean_raw","2,042",691,-495.7,Additionally adjusts for raw late-window mean MAP and HR.
Early-window independence,ac1_hr_early_mean,"early_map_mean_raw, early_hr_mean_raw","2,032",691,-573.9,Early-window AC1 adjusted for raw early-window mean MAP and HR.
Late AC1 adjusted for early vitals,ac1_hr_late_mean,"early_map_mean_raw, early_hr_mean_raw","2,059",695,-578.8,Tests whether late-window AC1 adds information beyond earlier raw MAP and HR.
No-sedation subgroup,ac1_hr_late_mean,None,527,212,-175.4,Restricted to stay-T0 pairs without sedative exposure in the prior 12h; sedation covariate omitted.
